Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/auth/me,9,0,8,9.906909004914471,6.018000014591962,18.077001004712656,236.0,0.32186764313296007,0.0,8,9,11,17,18,18,18,18,18,18,18
GET,/projects,22,0,11,16.194867590622213,7.776174985338002,57.71374798496254,2.0,0.7867875721027913,0.0,11,14,16,18,26,45,58,58,58,58,58
POST,/projects (POST),5,0,20,29.1789261973463,17.14870799332857,69.36530899838544,246.0,0.17881535729608894,0.0,20,21,21,69,69,69,69,69,69,69,69
GET,/projects/{id} (GET),1,0,14.25291900523007,14.25291900523007,14.25291900523007,14.25291900523007,246.0,0.03576307145921779,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/projects/{id}/tests (GET),1,0,20.049996994202957,20.049996994202957,20.049996994202957,20.049996994202957,431.0,0.03576307145921779,0.0,20,20,20,20,20,20,20,20,20,20,20
POST,/projects/{id}/tests (POST),5,0,22,39.35996060608886,18.833776004612446,111.86474200803787,429.4,0.17881535729608894,0.0,22,24,24,110,110,110,110,110,110,110,110
GET,/runs (GET),20,0,14,18.120464847015683,10.19651599926874,38.798763998784125,2.0,0.7152614291843558,0.0,17,20,20,22,39,39,39,39,39,39,39
GET,/stats/overview,22,0,36,87.65978077744049,22.757266007829458,532.4587320210412,1298.0,0.7867875721027913,0.0,41,48,57,72,100,530,530,530,530,530,530
GET,/tests/{id}/chat (GET),1,0,32.6121480029542,32.6121480029542,32.6121480029542,32.6121480029542,2.0,0.03576307145921779,0.0,33,33,33,33,33,33,33,33,33,33,33
POST,/tests/{id}/chat (POST),1,0,43.394921987783164,43.394921987783164,43.394921987783164,43.394921987783164,163.0,0.03576307145921779,0.0,43,43,43,43,43,43,43,43,43,43,43
,Aggregated,87,0,19,36.65951910447436,6.018000014591962,532.4587320210412,402.1034482758621,3.1113872169519476,0.0,19,26,33,39,57,80,530,530,530,530,530
